ID;ParamName;ParamID;Unit;ScaleBeginning;Ust0;Ust1;Ust2;Ust3;Ust4;Ust5;Ust6;Ust7;Ust8;Ust9;Ust10;Ust11;ScaleEnd;Hist;VeracityBottom;VeracityTop;AdressBeginning;Place;CtrlUst;OpMask;SignMask;KF;NDiap;AdressBeginningKF;PLC;OPCPath;PlaceName;TypeName
37;"ПНА №036.1 ТЕМПЕРАТУРА ВЕРХНЕГО ПОДШИПНИКА ЭД (ТОЧКА 2)";"TT554_2";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";14452;8;"1";"1";"1";"0";"1";11208;0;"PNA036_1.TT554_2";"ПНА №036.1";"Базовый тип с наименованием по умолчанию"
38;"ПНА №036.1 ТЕМПЕРАТУРА НЕФТИ НА ВЫХОДЕ";"TT557";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"50";"60";"0";"0";"150";"0";"3,7";"20,3";14484;8;"1";"1";"1";"0";"1";11212;0;"PNA036_1.TT557";"ПНА №036.1";"Базовый тип с наименованием по умолчанию"
39;"ПНА №036.1 ТЕМПЕРАТУРА ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ТОЧКА 1)";"TT558_1";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";14516;8;"1";"1";"1";"0";"1";11216;0;"PNA036_1.TT558_1";"ПНА №036.1";"Базовый тип с наименованием по умолчанию"
40;"ПНА №036.1 ТЕМПЕРАТУРА ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ТОЧКА 2)";"TT558_2";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";14548;8;"1";"1";"1";"0";"1";11220;0;"PNA036_1.TT558_2";"ПНА №036.1";"Базовый тип с наименованием по умолчанию"
41;"ПНА №036.1 ЧАСТОТА ВРАЩЕНИЯ ВАЛА ЭД";"ST551_1";"об/мин";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3000";"0";"-30";"3000";14580;8;"1";"1";"1";"0";"1";11224;0;"PNA036_1.ST551_1";"ПНА №036.1";"Частота вращения вала ЭД НА"
42;"ПНА №036.1 ВИБРАЦИЯ ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ГОРИЗОНТАЛЬНОЕ НАПРАВЛЕНИЕ)";"XT555";"мм/с";"0";"0";"0";"6";"8,9";"0";"7,1";"11,2";"0";"18";"0";"0";"0";"30";"0";"3,7";"20,3";14612;8;"1";"1";"1";"0";"1";11228;0;"PNA036_1.XT555";"ПНА №036.1";"Вибрации насоса/двигателя"
43;"ПНА №036.1 ВИБРАЦИЯ ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ПОПЕРЕЧНОЕ НАПРАВЛЕНИЕ)";"XT556";"мм/с";"0";"0";"0";"6";"8,9";"0";"7,1";"11,2";"0";"18";"0";"0";"0";"30";"0";"3,7";"20,3";14644;8;"1";"1";"1";"0";"1";11232;0;"PNA036_1.XT556";"ПНА №036.1";"Вибрации насоса/двигателя"
44;"ПНА №036.1 АВАРИЙНЫЕ УТЕЧКИ НЕФТИ ЧЕРЕЗ ТОРЦЕВОЕ УПЛОТНЕНИЕ НАСОСА";"LC5514";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14676;8;"1";"1";"1";"0";"2";11236;0;"PNA036_1.LC5514";"ПНА №036.1";"Дискретные параметры с контролем целостности"
45;"ПНА №036.1 ДАВЛЕНИЕ НЕФТИ НА ВХОДЕ";"PT551";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"3,7";"20,3";14708;8;"1";"1";"1";"0";"1";11240;0;"PNA036_1.PT551";"ПНА №036.1";"Базовый тип с наименованием по умолчанию"
46;"ПНА №036.1 ДАВЛЕНИЕ НЕФТИ НА ВЫХОДЕ";"PT552";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"3,7";"20,3";14740;8;"1";"1";"1";"0";"1";11244;0;"PNA036_1.PT552";"ПНА №036.1";"Базовый тип с наименованием по умолчанию"
